data_no,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
18609,28-Jul-20,2020,Riots,Violent demonstration,Rioters (United States),BLM: Black Lives Matter; LGBT (United States); Women (United States),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,1010WINS; CBS2 (New York); ABC7 (New York),"On 28 July 2020, a large group of people staged a demonstration in Kips Bay in New York-Manhattan (New York) in support of Black Lives Matter movement and against police brutality in the wake of the death of George Floyd. During the demonstration, four plainclothes NYPD officers were trying to snatch a transgender demonstrator into an unmarked minivan, reportedly as she was wanted for damaging police cameras, which led to the confrontation between the demonstrators and NYPD police officers, and seven officers were injured when demonstrators threw rocks and bottles at the police. During the night, several people were taken into custody by the police near Madison Square Park. [size=a large group] [detentions]",0,1612546427
18810,26-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),Women (United States); BLM: Black Lives Matter; African American Group (United States),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,New York Post,"On 26 July 2020, about 350 people marched in 'Black Womxn's March' from FDR drive to Marcus Garvey Park in Harlem in New York-Manhattan (New York) in support of the Black Lives Matter and Black Women Lives Matter movement in the wake of the death of George Floyd. [size=about 350]",0,1612916001
18875,25-Jul-20,2020,Riots,Violent demonstration,Rioters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,New York Post; Spectrum News NY1,"On 25 July 2020, people marched in a demonstration from Cadman Plaza Park across the Brooklyn Bridge to New York-Manhattan (New York) in support of Black Lives Matter movement and against police brutality in the wake of the death of George Floyd. At night, a group of demonstrators set fire and vandalized several NYPD cars in Lower Manhattan. [size=no report]",0,1612546427
18930,25-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),Pro-Police Group (United States),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,CBS2 (New York),"On 25 July 2020, people staged a protest at 183rd Street and Broadway at Inwood in New York-Manhattan (New York) in support of the police officers in the 34th Precinct. [size=no report]",0,1612546427
19107,24-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,VOCAL-NY,"On 24 July 2020, protesters, organized by Homeless union, staged a protest in Harlem in New York-Manhattan (New York) against the NYPD treatment of homeless people New York. [size=no report]",0,1612546427
19167,23-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,Bronx,New York - Bronx,40.8451,-73.8649,ABC7 (New York),"On 23 July 2020, about 100 protesters, led by the Bronx district attorney, marched from Mott Playground to Claremont Park in New York-Bronx (New York) in protest over the recent spike of gun violence in New York City. [size=about 100]",0,1612546426
19367,22-Jul-20,2020,Riots,Violent demonstration,Rioters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,CBS2 (New York); New York Daily News; ABC7 (New York); PIX11,"On 22 July 2020, about 200 demonstrators marched from Union Square to City Hall and held a demonstration near Foley Square in New York-Manhattan (New York) to continue the 'Occupy City Hall' movement and demand cuts in the NYPD budget, and to show their support for Black Lives Matter movement in the wake of the death of George Floyd. The demonstrators had a confrontation with the police because the police barricaded the area after the 'Occupy City Hall' encampment was raided and cleaned out by the police on the same day, and seven people were taken into custody by the police. One police officer was injured when a demonstrator threw a brick to him. [size=about 100]",0,1612916001
19373,21-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Staten Island Advance; 10NBC; CBS2 (New York),"On 21 July 2020, about 50 demonstrators staged an 'Occupy City Hall' demonstration and camped at the City Hall Park in New York-Manhattan (New York) to demand cuts to the NYPD budget, and to show their support for the Black Lives Matter movement in the wake of the death of George Floyd. [size=about 50]",0,1612916001
19461,20-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),Labour Group (United States); BLM: Black Lives Matter; African American Group (United States),United States,New York,Bronx,New York - Bronx,40.8451,-73.8649,PIX11,"On 20 July 2020, around 1400 workers at the Hunts Point Produce Market and the Teamsters Local 2020 Union staged 'Strike For Black Lives' in New York-Bronx (New York) in support of racial and economic justice amid economic fallout caused by coronavirus pandemic, and Black Lives Matter movement in the wake of the death of George Floyd. The protest was a part of the nationwide 'The Strike for Black Lives' protest, seeking better treatment of Black Americans in the workplace.[size=around 1400]",0,1612916001
19473,20-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Staten Island Advance; CBS2 (New York); 10NBC,"On 20 July 2020, about 50 demonstrators staged an 'Occupy City Hall' demonstration and camped at the City Hall Park in New York-Manhattan (New York) to demand cuts to the NYPD budget, and to show their support for the Black Lives Matter movement in the wake of the death of George Floyd. [size=about 50]",0,1612916001
